,,Total (n=191),Non-survivor (n=54),Survivor (n=137),p value
"Age, years",,56.0 (46.0-67.0),69.0 (63.0-76.0),52.0 (45.0-58.0),<0.0001
Sex,,..,..,..,0.15
,Female,72 (38%),16 (30%),56 (41%),..
,Male,119 (62%),38 (70%),81 (59%),..
Exposure history,,73 (38%),14 (26%),59 (43%),0.028
Current smoker,,11 (6%),5 (9%),6 (4%),0.21
Comorbidity,,91 (48%),36 (67%),55 (40%),0.001
,Hypertension,58 (30%),26 (48%),32 (23%),0.0008
,Diabetes,36 (19%),17 (31%),19 (14%),0.0051
,Coronary heart disease,15 (8%),13 (24%),2 (1%),<0.0001
,Chronic obstructive lung disease,6 (3%),4 (7%),2 (1%),0.047
,Carcinoma,2 (1%),0,2 (1%),0.37
,Chronic kidney disease,2 (1%),2 (4%),0,0.024
,Other,22 (12%),11 (20%),11 (8%),0.016
Respiratory rate >24 breaths per min,,56 (29%),34 (63%),22 (16%),<0.0001
Pulse ?125 beats per min,,2 (1%),2 (4%),0,0.024
Systolic blood pressure <90 mm Hg,,1 (1%),0,1 (1%),0.53
Fever (temperature ?37.3°C),,180 (94%),51 (94%),129 (94%),0.94
Cough,,151 (79%),39 (72%),112 (82%),0.15
Sputum,,44 (23%),14 (26%),30 (22%),0.55
Myalgia,,29 (15%),8 (15%),21 (15%),0.93
Fatigue,,44 (23%),15 (28%),29 (21%),0.33
Diarrhoea,,9 (5%),2 (4%),7 (5%),0.67
Nausea or vomiting,,7 (4%),3 (6%),4 (3%),0.4
SOFA score,,2.0 (1.0-4.0),4.5 (4.0-6.0),1.0 (1.0-2.0),<0.0001
qSOFA score,,1.0 (0.0-1.0),1.0 (1.0-1.0),0.0 (0.0-1.0),<0.0001
CURB-65 score,,0.0 (0.0-2.0),2.0 (1.0-3.0),0.0 (0.0-1.0),<0.0001
,0-1,141/188 (75%),16 (30%),125/134 (93%),<0.0001*
,2,32/188 (17%),23 (43%),9/134 (7%),..
,5-Mar,15/188 (8%),15 (28%),0/134,..
Disease severity status,,..,..,..,<0.0001
,General,72 (38%),0,72 (53%),..
,Severe,66 (35%),12 (22%),54 (39%),..
,Critical,53 (28%),42 (78%),11 (8%),..
"Time from illness onset to hospital admission, days",,11.0 (8.0-14.0),11.0 (8.0-15.0),11.0 (8.0-13.0),0.53
"White blood cell count, ×?10 9 per L",,6.2 (4.5-9.5),9.8 (6.9-13.9),5.2 (4.3-7.7),<0.0001
,<4,32 (17%),5 (9%),27 (20%),<0.0001*
,10-Apr,119 (62%),24 (44%),95 (69%),..
,>10,40 (21%),25 (46%),15 (11%),..
"Lymphocyte count, ×?10 9 per L",,1.0 (0.6-1.3),0.6 (0.5-0.8),1.1 (0.8-1.5),<0.0001
,<0.8,77 (40%),41 (76%),36 (26%),<0.0001
"Haemoglobin, g/L",,128.0 (119.0-140.0),126.0 (115.0-138.0),128.0 (120.0-140.0),0.3
Anaemia,,29 (15%),14 (26%),15 (11%),0.0094
"Platelet count, ×?10 9 per L",,206.0 (155.0-262.0),165.5 (107.0-229.0),220.0 (168.0-271.0),<0.0001
,<100,13 (7%),11 (20%),2 (1%),<0.0001
"Albumin, g/L",,32.3 (29.1-35.8),29.1 (26.5-31.3),33.6 (30.6-36.4),<0.0001
"ALT, U/L",,30.0 (17.0-46.0),40.0 (24.0-51.0),27.0 (15.0-40.0),0.005
,>40,59/189 (31%),26 (48%),33/135 (24%),0.0015
Creatinine >133 ?mol/L,,8/186 (4%),5 (9%),3/132 (2%),0.045
